Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Georgia,GEO,17.21162364,..,..,..,..,16.51679403,..,..,..,..,17.80213302,19.82880145,20.13867477,19.58915924,19.38130856,18.48419633,17.68579608,18.02704398,17.81426399,17.85586499,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Germany,DEU,16.43916499,..,..,..,..,15.08202344,..,..,..,..,16.08934354,15.57511307,13.8086903,13.57835046,12.24528447,12.72693664,11.77992518,11.88161987,11.92460308,11.80580716,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Ghana,GHA,60.34547396,..,..,..,..,52.84830506,..,..,..,..,50.08807979,53.47816985,54.52706673,47.78909296,46.9526973,60.48227972,59.661617,55.93672757,54.23685549,53.98926008,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Greece,GRC,20.71409122,..,..,..,..,19.15743208,..,..,..,..,19.06202926,19.73341964,17.37070897,16.69353,15.72743666,16.04385798,14.46980163,14.43912017,14.51537033,14.2538714,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Greenland,GRL,6.321862093,..,..,..,..,6.361755729,..,..,..,..,6.028100954,5.785407287,6.13427501,6.082991842,6.378015917,6.226964273,6.472452957,6.616395462,6.515998783,6.462977097,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Grenada,GRD,21.81550263,..,..,..,..,19.66107509,..,..,..,..,19.82709385,19.10315605,20.0647388,20.08742225,20.26503477,21.94013568,21.17807748,21.00966255,21.38302419,21.48591655,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Guam,GUM,7.819470772,..,..,..,..,7.53353071,..,..,..,..,7.184061682,6.859106867,6.884723871,7.840641715,7.432922337,10.04977671,8.340218624,7.745768475,8.252069387,8.221834725,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Guatemala,GTM,35.86654107,..,..,..,..,29.198214,..,..,..,..,28.87738634,32.544288,30.32467663,32.24187476,29.42704565,30.94349566,29.17182245,27.81052009,28.02331277,27.64788197,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Guinea,GIN,53.0035338,..,..,..,..,50.87115318,..,..,..,..,51.07018507,51.94689259,52.85547204,45.97257249,48.19905641,56.21359737,53.58936352,53.48751596,52.44233437,52.51253174,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Guinea-Bissau,GNB,56.42631336,..,..,..,..,52.66763856,..,..,..,..,52.80501579,53.95598891,56.80371059,47.569479,49.37871651,57.5086131,54.0903092,57.49587976,54.03820301,54.06829369,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Guyana,GUY,26.43412436,..,..,..,..,22.24598196,..,..,..,..,21.69833304,20.95555676,22.32520255,21.66481921,21.30120727,22.92175634,22.33097583,21.43446346,20.8255222,20.10090382,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Haiti,HTI,19.58669508,..,..,..,..,18.63563931,..,..,..,..,18.05516481,17.73545429,18.54325277,18.71624801,19.17668414,19.88014557,19.14929749,19.12974699,19.14097132,19.03230796,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Honduras,HND,27.53958991,..,..,..,..,25.50601519,..,..,..,..,24.06241788,28.6901789,25.51904301,28.04343945,25.60894093,26.72226603,24.75521888,22.74896563,23.36239296,22.87512366,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
